EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,MaritalStatus,Education,EducationField,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Attrition,attrition_flag,satisfaction_avg,tenure_band,income_band
1,41,FEMALE,Sales,Sales Executive,Travel_Rarely,Single,2,Life Sciences,5993,19479,11,3,0,8,0,6,4,0,5,YES,Yes,1,2.3333333333333335,5-10,Q4
2,49,MALE,Research & Development,Research Scientist,Travel_Frequently,Married,1,Life Sciences,5130,24907,23,4,1,10,3,10,7,1,7,NO,No,0,2.6666666666666665,5-10,Q3
4,37,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,2,Other,2090,2396,15,3,0,7,3,0,0,0,0,YES,Yes,1,3.3333333333333335,0-1,Q1 Lowest
5,33,FEMALE,Research & Development,Research Scientist,Travel_Frequently,Married,4,Life Sciences,2909,23159,11,3,0,8,3,8,7,3,0,YES,No,0,3.3333333333333335,5-10,Q2
7,27,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,1,Medical,3468,16632,12,3,1,6,3,2,2,2,2,NO,No,0,2.0,1-3,Q2
8,32,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,2,Life Sciences,3068,11864,13,3,0,8,2,7,7,3,6,NO,No,0,3.3333333333333335,5-10,Q2
10,59,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,2670,9964,20,4,3,12,3,1,0,0,0,YES,No,0,2.0,0-1,Q1 Lowest
11,30,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1,Life Sciences,2693,13335,22,4,1,1,2,1,0,0,0,NO,No,0,3.3333333333333335,0-1,Q1 Lowest
12,38,MALE,Research & Development,Manufacturing Director,Travel_Frequently,Single,3,Life Sciences,9526,8787,21,4,0,10,2,9,7,1,8,NO,No,0,3.3333333333333335,5-10,Q4
13,36,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,3,Medical,5237,16577,13,3,2,17,3,7,7,7,7,NO,No,0,2.6666666666666665,5-10,Q3
14,35,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Medical,2426,16479,13,3,1,6,5,5,4,0,3,NO,No,0,2.0,3-5,Q1 Lowest
15,29,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,2,Life Sciences,4193,12682,12,3,0,10,3,9,5,0,8,YES,No,0,3.3333333333333335,5-10,Q2
16,31,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,1,Life Sciences,2911,15170,17,3,1,5,1,5,2,4,3,NO,No,0,2.0,3-5,Q2
18,34,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,2,Medical,2661,8758,11,3,1,3,2,2,2,1,2,NO,No,0,3.0,1-3,Q1 Lowest
19,28,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Life Sciences,2028,12947,14,3,0,6,4,4,2,0,3,YES,Yes,1,3.0,3-5,Q1 Lowest
20,29,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,4,Life Sciences,9980,10195,11,3,1,10,1,10,9,8,8,NO,No,0,2.0,5-10,Q5 Highest
21,32,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,2,Life Sciences,3298,15053,12,3,2,7,5,6,2,0,5,YES,No,0,1.6666666666666667,5-10,Q2
22,22,MALE,Research & Development,Laboratory Technician,Non-Travel,Divorced,2,Medical,2935,7324,13,3,2,1,2,1,0,0,0,YES,No,0,3.3333333333333335,0-1,Q2
23,53,FEMALE,Sales,Manager,Travel_Rarely,Married,4,Life Sciences,15427,22021,16,3,0,31,3,25,8,3,7,NO,No,0,2.6666666666666665,10+,Q5 Highest
